EXCHANGE%3DNASDAQ,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
a1507815000,155.15,155.49,154.83,154.96,996717
1,154.86,155.16,154.56,155.15,712577
2,154.745,154.99,154.7,154.86,414652
3,155.01,155.05,154.74,154.76,426727
4,154.8246,155.0534,154.7625,155.003,352827
5,155.09,155.16,154.78,154.8267,297668
6,154.845,155.1,154.76,155.08,292814
7,154.85,154.96,154.76,154.845,212469
8,154.7699,154.92,154.63,154.85,395674
9,154.945,154.98,154.7635,154.77,278956
10,155.12,155.175,154.9139,154.95,271198
11,155.04,155.17,155,155.115,299945
12,154.91,155.04,154.84,155.04,225861
13,154.85,154.91,154.73,154.91,203631
14,154.755,154.88,154.75,154.8454,208721
15,154.84,154.86,154.61,154.755,305830
16,154.8603,154.8801,154.7,154.84,169540
17,155.04,155.0522,154.82,154.865,311202
18,155.11,155.11,155.0191,155.04,188633
19,154.95,155.11,154.93,155.105,189385
20,155.03,155.08,154.9,154.95,235184
21,155.16,155.22,154.98,155.0246,335652
22,155.14,155.25,155.12,155.1601,254443
23,155.0145,155.14,154.98,155.135,209491
24,155.05,155.05,154.91,155.01,232788
25,155.045,155.1,155.01,155.05,153039
26,155.119,155.15,154.99,155.05,158785
27,155.165,155.2,155.06,155.11,140579
28,155.16,155.2,155.1001,155.16,134279
29,155.0245,155.1793,154.95,155.16,203199
30,155.023,155.06,154.97,155.025,191667
31,155.021,155.12,155.01,155.027,120780
32,155.09,155.1,155.01,155.02,143065
33,155.02,155.09,155,155.08,181303
34,155.14,155.15,155.01,155.03,566559
35,155.08,155.23,155.06,155.14,430953
36,155.095,155.1,155.02,155.09,345920
37,155.16,155.34,154.99,155.095,782849
38,155.3,155.3,155.12,155.16,2590162
39,155.85,155.92,155.8,155.81,223528
144,155.73,155.93,155.51,155.8,717767
145,155.55,155.93,155.53,155.7276,601536
146,156.27,156.28,155.485,155.5519,989637
147,156.59,156.6,156.18,156.2701,1033976
148,156.5968,156.665,156.2823,156.6,528714
149,156.48,156.73,156.4419,156.595,502333
150,156.22,156.55,156.05,156.48,513732
151,155.9864,156.28,155.9238,156.21,457550
152,156.03,156.21,155.86,155.9841,348848
153,156.08,156.21,156.03,156.04,244661
154,155.98,156.09,155.77,156.085,352977
155,155.84,156.036,155.81,155.97,200969
156,155.98,156.06,155.82,155.855,263404
157,156.155,156.17,155.955,155.979,260840
158,156.07,156.17,156.05,156.16,148909
159,156.05,156.1,155.92,156.0792,202910
160,155.99,156.12,155.96,156.048,134109
161,155.86,156.03,155.84,155.99,203573
162,155.973,156.04,155.85,155.86,200184
163,155.8,155.9733,155.8,155.9733,153364
164,156.041,156.1289,155.79,155.7961,262138
165,155.9685,156.1,155.96,156.04,112787
166,155.985,156.06,155.9131,155.972,113769
167,155.9954,156.0408,155.96,155.98,128476
168,156.035,156.05,155.965,156,135502
169,155.95,156.08,155.95,156.04,196646
170,155.9768,156.04,155.93,155.9499,94612
171,156.01,156.04,155.95,155.98,117003
172,155.91,156.04,155.84,156.01,168708
173,155.885,155.9545,155.84,155.9,166606
174,155.845,155.93,155.76,155.8828,179067
175,155.86,155.94,155.82,155.845,153855
176,155.825,155.905,155.81,155.85,93871
177,155.8142,155.85,155.71,155.8208,258370
178,155.8964,155.9,155.7,155.815,308777
179,155.91,155.96,155.85,155.8901,264330
180,155.73,155.91,155.601,155.91,420487
181,155.83,155.9,155.71,155.74,528696
182,155.84,155.96,155.78,155.83,1957902
183,155.985,156.14,155.97,156.055,260720
576,156.47,158,155.91,155.985,1233394
577,156.2,156.52,156.13,156.46,604211
578,156.15,156.33,156.09,156.19,586706
579,155.8035,156.185,155.62,156.15,700961
580,155.22,155.92,155.11,155.82,767467
581,155.67,155.7,155.1,155.215,487746
582,155.56,155.76,155.515,155.68,316059
583,155.71,155.85,155.48,155.55,315340
584,155.5949,155.715,155.49,155.71,314373
585,155.672,155.68,155.47,155.59,219053
586,155.81,155.8199,155.63,155.66,332190
587,155.49,155.82,155.4127,155.81,246130
588,155.53,155.68,155.43,155.51,245352
589,155.61,155.645,155.48,155.54,135587
590,155.4401,155.64,155.28,155.62,245112
591,155.4045,155.58,155.3182,155.44,210319
592,155.31,155.51,155.25,155.41,270007
593,155.6155,155.7,155.27,155.31,368016
594,155.66,155.82,155.6,155.6155,224216
595,155.95,155.99,155.65,155.65,237865
596,155.98,156.02,155.86,155.95,175725
597,156.049,156.08,155.9199,155.97,202245
598,155.984,156.18,155.9801,156.04,244115
599,155.91,155.9984,155.78,155.98,307567
600,156.1,156.11,155.79,155.9101,263760
601,155.945,156.14,155.8944,156.11,238928
602,155.81,155.946,155.8,155.94,131556
603,155.8245,155.93,155.77,155.82,167131
604,155.71,155.83,155.7,155.83,147321
605,155.77,155.83,155.65,155.71,155385
606,155.81,155.86,155.76,155.78,130790
607,155.86,155.8772,155.78,155.8166,139074
608,155.79,155.865,155.75,155.855,132945
609,155.9025,155.94,155.7664,155.79,173628
610,155.77,155.93,155.76,155.91,211438
611,155.655,155.8372,155.65,155.76,200886
612,155.645,155.795,155.63,155.66,251700
613,155.85,155.86,155.62,155.65,368024
614,155.9,155.92,155.7,155.85,1747611
615,156.01,156.05,155.97,155.97,261356
720,155.79,156.32,155.75,156.01,804014
721,155.95,156.07,155.75,155.78,437837
722,156.24,156.28,155.75,155.94,569779
723,156.68,156.69,156.2,156.25,897147
724,156.82,156.98,156.62,156.68,831146
725,156.7782,156.93,156.74,156.82,569668
726,156.55,156.94,156.49,156.77,516279
727,156.5165,156.74,156.51,156.55,373417
728,156.745,156.7899,156.51,156.51,405269
729,156.825,156.825,156.65,156.7466,324695
730,156.61,156.87,156.56,156.82,350262
731,156.59,156.6956,156.52,156.6138,328107
732,156.64,156.76,156.53,156.58,214194
733,156.58,156.64,156.52,156.63,178245
734,156.67,156.6982,156.54,156.579,218989
735,156.6986,156.7382,156.64,156.66,132212
736,156.7,156.72,156.58,156.6999,167128
737,156.7337,156.7535,156.65,156.69,202155
738,156.69,156.73,156.63,156.73,155075
739,156.6555,156.84,156.63,156.685,358858
740,156.68,156.76,156.62,156.66,229794
741,156.7851,156.79,156.68,156.68,174971
742,156.717,156.8133,156.65,156.785,203097
743,156.6144,156.74,156.54,156.71,213378
744,156.56,156.6855,156.53,156.615,188056
745,156.58,156.59,156.47,156.56,194573
746,156.44,156.605,156.44,156.59,185515
747,156.58,156.6,156.45,156.45,145377
748,156.71,156.75,156.51,156.57,242983
749,156.5499,156.72,156.39,156.71,302212
750,156.46,156.56,156.41,156.545,205688
751,156.395,156.55,156.39,156.46,169229
752,156.51,156.58,156.38,156.395,178186
753,156.5536,156.62,156.511,156.52,243872
754,156.575,156.645,156.54,156.56,186734
755,156.55,156.62,156.4745,156.5745,268295
756,156.57,156.68,156.54,156.54,283398
757,156.49,156.58,156.42,156.58,366313
758,156.55,156.68,156.43,156.495,2474132
759,156.38,156.39,156.31,156.35,216632
864,156.74,156.91,156.27,156.38,796035
865,157,157.06,156.55,156.74,734516
866,156.8604,157.37,156.8,156.9975,1077692
867,156.8436,157.1,156.49,156.87,912696
868,156.89,156.9599,156.73,156.845,407987
869,156.74,156.97,156.7,156.9,346364
870,156.7658,156.82,156.61,156.7364,453983
871,156.6829,156.8,156.57,156.76,249633
872,156.82,156.86,156.65,156.68,306061
873,156.84,156.92,156.75,156.81,334500
874,156.85,156.95,156.81,156.845,246960
875,156.8899,156.94,156.81,156.855,163664
876,156.83,156.95,156.8,156.89,189841
877,156.8954,156.925,156.81,156.83,154948
878,156.89,156.92,156.85,156.9,145636
879,157.14,157.1401,156.895,156.9,362864
880,156.965,157.145,156.93,157.14,227232
881,157.04,157.09,156.93,156.97,183846
882,156.88,157.038,156.8701,157.038,242333
883,156.81,156.9434,156.805,156.88,115069
884,156.77,156.88,156.76,156.81,161234
885,156.8014,156.84,156.71,156.7675,176053
886,156.83,156.86,156.76,156.8066,89760
887,156.939,156.97,156.83,156.83,118427
888,156.877,156.98,156.87,156.9399,168296
