EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
a1507815600,152.35,152.59,152.18,152.34,19071
1,152.42,152.55,152.34,152.35,22387
2,152.625,152.69,152.42,152.42,11773
3,152.76,152.83,152.66,152.69,8594
4,152.68,152.77,152.66,152.74,5508
5,152.54,152.6999,152.4464,152.6596,10282
6,152.5,152.65,152.41,152.5,9144
7,152.455,152.52,152.37,152.47,26587
8,152.61,152.64,152.43,152.48,23287
9,152.635,152.68,152.585,152.64,7706
10,152.75,152.78,152.62,152.62,14610
11,152.755,152.86,152.69,152.73,10346
12,152.7,152.79,152.66,152.77,10981
13,152.845,152.89,152.67,152.71,25448
14,152.88,152.94,152.81,152.84,10028
15,152.88,152.91,152.83,152.87,16398
16,152.7591,152.89,152.75,152.86,11446
17,152.77,152.8,152.73,152.75,6372
18,152.83,152.8801,152.76,152.78,7654
19,152.87,152.87,152.8,152.82,16387
20,152.83,152.93,152.8,152.85,16402
21,152.86,152.88,152.81,152.81,2082
22,152.85,152.9,152.81,152.85,9578
23,152.87,152.88,152.81,152.8732,4330
24,152.98,152.98,152.86,152.88,8264
25,152.9,152.97,152.9,152.97,5911
26,152.91,152.9701,152.9,152.9,6364
27,152.98,153.01,152.92,152.92,12742
28,152.94,152.95,152.9,152.95,5643
29,153.01,153.0166,152.91,152.93,12990
30,153.04,153.05,153.01,153.03,4777
31,153.08,153.11,153.03,153.05,4048
32,153.2,153.2,153.1001,153.1001,14047
33,153.195,153.24,153.12,153.19,31812
34,153.155,153.23,153.15,153.2,16320
35,153.17,153.23,153.14,153.15,19124
36,153.21,153.28,153.18,153.18,41291
37,153.29,153.33,153.16,153.19,91514
38,152.92,153.36,152.82,153.36,12113
144,152.85,153.11,152.83,153.02,11607
145,152.98,153,152.77,152.84,15933
146,152.91,153,152.86,152.9588,27242
147,153.01,153.02,152.76,152.89,23078
148,152.95,153.01,152.92,153.01,21194
149,152.78,152.965,152.77,152.965,8798
150,152.75,152.82,152.72,152.8,8428
151,152.63,152.77,152.57,152.75,19313
152,152.759,152.78,152.63,152.63,11166
153,152.7499,152.76,152.71,152.745,7675
154,152.69,152.74,152.69,152.71,7770
155,152.61,152.75,152.569,152.69,14962
156,152.71,152.72,152.58,152.635,14895
157,152.65,152.69,152.6005,152.67,4552
158,152.7275,152.7282,152.56,152.6,4268
159,152.78,152.79,152.69,152.72,3965
160,152.78,152.8,152.77,152.79,3986
161,152.6701,152.79,152.6701,152.79,3000
162,152.65,152.72,152.62,152.6932,5437
163,152.58,152.68,152.56,152.67,4183
164,152.62,152.68,152.56,152.585,8001
165,152.63,152.73,152.63,152.67,3614
166,152.645,152.66,152.61,152.66,3406
167,152.65,152.66,152.61,152.6486,4692
168,152.68,152.68,152.6,152.62,4724
169,152.61,152.68,152.57,152.64,5403
170,152.64,152.68,152.6,152.6,6915
171,152.65,152.67,152.59,152.6282,6339
172,152.66,152.69,152.64,152.6403,3817
173,152.65,152.68,152.575,152.63,17166
174,152.69,152.7,152.64,152.64,3038
175,152.66,152.71,152.625,152.7,4089
176,152.61,152.65,152.6,152.63,5197
177,152.62,152.65,152.61,152.61,7099
178,152.68,152.69,152.62,152.6499,8367
179,152.68,152.69,152.62,152.68,14524
180,152.68,152.68,152.61,152.65,17771
181,152.75,152.83,152.68,152.68,55074
182,152.99,152.99,152.53,152.81,11568
576,153.02,153.18,152.89,152.89,8193
577,152.54,153.07,152.54,153.03,5160
578,152.75,152.8,152.51,152.63,11106
579,152.37,152.71,152.37,152.69,9693
580,152.45,152.48,152.165,152.31,8678
581,152.45,152.57,152.436,152.436,5725
582,152.58,152.67,152.36,152.47,9218
583,152.49,152.54,152.36,152.54,13100
584,152.57,152.57,152.41,152.55,5567
585,152.61,152.61,152.465,152.53,6233
586,152.64,152.66,152.5,152.66,9953
587,152.59,152.7,152.58,152.66,7181
588,152.65,152.65,152.55,152.57,4600
589,152.7,152.7,152.54,152.59,53524
590,152.8,152.8,152.59,152.675,9945
591,152.83,152.87,152.74,152.79,8233
592,152.89,152.96,152.855,152.855,12040
593,153.07,153.07,152.89,152.89,15775
594,152.87,153.09,152.87,153.065,7524
595,152.68,152.9,152.63,152.9,12981
596,152.73,152.74,152.63,152.67,6145
597,152.81,152.81,152.71,152.73,9070
598,152.99,152.99,152.78,152.8,11700
599,153.07,153.07,152.97,152.99,9928
600,153.01,153.16,153.01,153.09,17308
601,153.2,153.22,153,153.01,14294
602,153.19,153.28,153.14,153.2,11541
603,153.12,153.21,153.115,153.2,59462
604,152.95,153.16,152.95,153.15,8627
605,152.9,153.01,152.88,152.92,9518
606,153.07,153.09,152.9,152.94,7928
607,153.06,153.115,153.06,153.08,12208
608,153.04,153.07,152.995,153.06,14516
609,153.115,153.125,153.02,153.045,16041
610,153.09,153.15,153.08,153.11,15455
611,153.0125,153.1,153,153.1,17482
612,153.1,153.12,153.01,153.015,33318
613,153.23,153.23,152.93,153.08,113529
614,152.88,153.17,152.88,153.17,9083
720,152.6,152.88,152.595,152.88,6216
721,152.15,152.64,152.15,152.53,7450
722,152.18,152.31,152.07,152.15,9784
723,152.11,152.26,151.96,152.1,7175
724,152.07,152.27,152.02,152.09,9477
725,152.19,152.19,151.99,152.08,5039
726,151.99,152.23,151.94,152.23,7483
727,152.075,152.22,151.98,152.0197,7160
728,152.16,152.16,151.93,152.05,7480
729,152.08,152.23,152.035,152.12,4700
730,152.1,152.21,151.99,152.14,6931
731,152.09,152.16,152.06,152.13,4900
732,152.1,152.12,152.06,152.11,3694
733,152.18,152.32,152.11,152.11,13176
734,152.41,152.41,152.15,152.17,11961
735,152.49,152.5,152.38,152.38,4714
736,152.44,152.65,152.375,152.46,21152
737,152.42,152.48,152.41,152.45,11720
738,152.5525,152.58,152.37,152.39,5334
739,152.55,152.55,152.43,152.52,4140
740,152.66,152.66,152.53,152.55,6314
741,152.72,152.81,152.72,152.7299,7840
742,152.73,152.79,152.69,152.72,9726
743,152.7599,152.76,152.71,152.72,8514
744,152.945,152.96,152.72,152.73,6172
745,152.78,152.965,152.78,152.945,11274
746,152.87,152.9,152.79,152.805,9627
747,152.9,152.95,152.82,152.89,16783
748,152.87,152.97,152.84,152.89,8450
749,152.81,152.9,152.81,152.89,4898
750,152.785,152.85,152.77,152.79,9499
751,152.85,152.88,152.75,152.77,5735
752,152.85,152.85,152.79,152.8,6895
753,152.87,152.95,152.87,152.87,9308
754,152.92,152.93,152.85,152.85,9377
755,152.9,152.97,152.9,152.9106,15240
756,152.88,152.95,152.87,152.89,20688
757,152.92,152.93,152.84,152.88,56887
758,152.77,152.83,152.49,152.57,11919
864,152.88,152.91,152.7501,152.83,3049
865,152.88,152.9601,152.8,152.91,5767
866,152.7345,152.88,152.7,152.87,4367
867,152.76,152.84,152.7,152.75,7401
868,152.9,152.96,152.8,152.82,5747
869,152.95,153.06,152.89,152.89,4572
870,153.025,153.05,152.99,152.9918,3450
871,153.02,153.05,152.87,153.02,5351
872,152.91,153.05,152.9,153.03,9965
873,153.06,153.09,152.94,152.94,1700
874,153.005,153.03,152.94,153.03,1900
875,152.91,153.045,152.86,153.035,7125
876,152.88,152.9501,152.87,152.91,8299
877,152.92,152.94,152.85,152.873,7816
878,152.74,152.95,152.74,152.94,27225
879,152.84,152.88,152.71,152.75,15634
880,152.77,152.875,152.7501,152.865,2022
881,152.75,152.78,152.73,152.78,29411
882,152.73,152.7756,152.7,152.76,4219
883,152.88,152.88,152.73,152.73,11213
884,153.075,153.15,152.85,152.87,8997
885,152.98,153.094,152.95,153.094,21932
886,152.975,153.04,152.975,152.975,6502
887,153.0441,153.0441,152.905,153.0022,12158
888,152.96,153.03,152.93,153.03,4058
889,152.98,153,152.96,152.9636,2394
890,153.09,153.13,152.97,152.9803,6527
891,152.99,153.09,152.98,153.08,5554
892,153.04,153.06,153.01,153.02,5004
893,153.09,153.1369,153.03,153.03,9747
894,153.03,153.12,153.03,153.08,8197
895,153.13,153.13,153.02,153.03,9756
